mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
jgl009.mtx,9,9,50,0.016742006,0.01452011,0.01552795,0.024881811,0.014438348,0.020445717,0.020429009,0.020370748
jgl011.mtx,11,11,76,0.016460905,0.014184397,0.015752928,0.023653906,0.014574744,0.020518359,0.020261264,0.020320856
jnlbrng1.mtx,40000,40000,199200,0.026567194,0.020348173,0.022698152,0.043770052,0.020913013,0.035552322,0.038354215,0.041271344
Journals.mtx,124,124,12068,0.049809315,0.016857962,0.097343384,0.032776422,0.025202362,0.030549347,0.026032128,0.024933833
JP.mtx,87616,67320,13734559,0.410645321,0.291327452,2.7770152,0.519754582,0.335897991,0.36780751,0.329306455,0.326347867
jpwh_991.mtx,991,991,6027,0.027738274,0.015479427,0.023691783,0.035678767,0.015598452,0.025512893,0.026867568,0.029459638
juba40k.mtx,40337,40337,144945,0.035762972,0.02613719,0.040973811,0.045093203,0.023592795,0.035909647,0.039501014,0.04428694
k1_san.mtx,67759,67759,559774,0.037732458,0.031053988,0.057019471,0.065042236,0.027780318,0.043746741,0.049340035,0.053732489
k3plates.mtx,11107,11107,378927,0.086624112,0.025414487,0.125215721,0.045187,0.022582695,0.039574142,0.039253456,0.039234078
karate.mtx,34,34,156,0.018141644,0.015592983,0.017872487,0.026454129,0.015306873,0.021968737,0.021719457,0.02184721
karted.mtx,46502,133115,1770349,3.047633557,2.915332863,36.17497471,0.31633109,2.470337721,0.167280372,0.118983603,0.112875565
Kaufhold.mtx,8765,8765,42471,0.028466619,0.016979771,0.025680484,0.040484757,0.01758871,0.030993988,0.032595757,0.034680056
Kemelmacher.mtx,28452,9693,100875,0.021651719,0.016976287,0.019480356,0.042232125,0.0186815,0.033011066,0.036618388,0.04051025
kim1.mtx,38415,38415,933195,0.058398975,0.039384122,0.159123656,0.063957641,0.037876164,0.049553506,0.050486065,0.054166632
kim2.mtx,456976,456976,11330020,0.241015304,0.293811153,2.265804836,0.40838162,0.23734652,0.220106664,0.230747134,0.263919824
kineticBatchReactor_1.mtx,2052,2052,20600,0.063145246,0.047021443,0.179682764,0.03870289,0.079740649,0.056763932,0.035985518,0.03350111
kineticBatchReactor_2.mtx,4361,4361,44840,0.124482077,0.102169158,0.378015419,0.040145128,0.1922269,0.082344051,0.043284861,0.037357561
kineticBatchReactor_3.mtx,5082,5082,53219,0.138673303,0.117884725,0.43432027,0.04008475,0.245974302,0.085816196,0.044921333,0.037378261
kineticBatchReactor_4.mtx,7105,7105,74869,0.179955389,0.156481573,0.753903241,0.040259239,0.384732785,0.094887935,0.047084579,0.038986169
kineticBatchReactor_5.mtx,7641,7641,80767,0.191864519,0.168620795,0.81427376,0.041134744,0.414851378,0.095268483,0.047501645,0.039503326
kineticBatchReactor_6.mtx,7773,7773,82500,0.242473761,0.223038679,0.827482447,0.040465813,0.394557498,0.095275215,0.0476345,0.039606755
kineticBatchReactor_7.mtx,7968,7968,84508,0.198713073,0.175238727,0.788894905,0.04069766,0.433359914,0.095348882,0.047486902,0.039623514
kineticBatchReactor_8.mtx,8052,8052,85194,0.201284817,0.176378703,0.788720137,0.041139003,0.431801479,0.094896345,0.047904333,0.039321327
kineticBatchReactor_9.mtx,8115,8115,86183,0.201419564,0.176288237,0.789369799,0.040559913,0.433114137,0.095337286,0.047659838,0.039584865
kkt_power.mtx,2063494,2063494,14612663,0.716196052,0.672906642,1.606665865,0.78805187,0.564734553,0.546606161,0.5765494,0.635557443
